:START_ID(second_level_departments)|:END_ID(first_level_departments)|type:STRING|name:STRING
20899|20891|属于|属于
20880|20891|属于|属于
20883|20886|属于|属于
20868|20886|属于|属于
20901|20876|属于|属于
20885|20876|属于|属于
20869|20886|属于|属于
20907|20889|属于|属于
20905|20861|属于|属于
20878|20871|属于|属于
20912|20891|属于|属于
20908|20891|属于|属于
20895|20886|属于|属于
20882|20886|属于|属于
20902|20911|属于|属于
20894|20886|属于|属于
20888|20876|属于|属于
20906|20896|属于|属于
20862|20863|属于|属于
20865|20889|属于|属于
20867|20891|属于|属于
20874|20891|属于|属于
20875|20877|属于|属于
20884|20891|属于|属于
20909|20889|属于|属于
20864|20861|属于|属于
20872|20861|属于|属于
20900|20891|属于|属于
20887|20863|属于|属于
20859|20886|属于|属于
20879|20891|属于|属于
20890|20886|属于|属于
20881|20886|属于|属于
20898|20871|属于|属于
20897|20911|属于|属于
20904|20891|属于|属于
20892|20886|属于|属于
